name|lastname|sex|birthdate
Zara Nadia|Mulenga Dlamini|F|1957-10-23
Sanaa Thandiwe|Abdullahi Niang|F|2011-1-10
Emmanuel Moustapha|Ndlovu Ndou|M|1972-5-17
Suleiman Ali|Traoré Kamara|M|1987-11-6
Issa Nabil|Conteh Ndlovu|M|1959-11-24
Adebayo Tahir|Olumide Gumede|M|1999-9-25
Aisha Mariam|Olumide Toure|F|1979-5-2
Tahir Ali|Kamara Ouedraogo|M|2009-11-19
Jabari Wale|Ba Sylla|M|2013-8-24
Mubarak Mohammed|Bello Mpofu|M|1966-11-16
Amara Zola|Jalloh Mpofu|F|1967-6-1
Chinedu Kwesi|Bello Phiri|M|1970-3-9
Adanna Zahara|Nwachukwu Mahlatse|F|2005-12-23
Femi Mamadou|Chanda Sow|M|1959-8-15
Haroun Said|Nkosi Obi|M|1984-9-14
Lamine Amadou|Ogwumike Nwosu|M|1980-7-15
Hassan Suleiman|Ndiaye Traoré|M|1964-4-5
Kwesi Youssef|Ogwumike Diop|M|1962-5-23
Diop Chinedu|Osman Toure|M|1989-10-13
Youssef Kwame|Mumba Modise|M|2012-7-23
Moustapha Oladipo|Mpofu Mpofu|M|1955-9-14
Mubarak Lamine|Traoré Kamara|M|2005-4-10
Kwame Diop|Nwosu Dlamini|M|1967-9-7
Tariq Juma|Jalloh Langa|M|1958-7-12
Adjoa Kadija|Mpofu Banda|F|1984-3-21
Nia Nala|Moyo Obi|F|1978-4-2
Sani Mustafa|Djembe Gumede|M|1979-6-24
Ousmane Mubarak|Bello Langa|M|1996-1-18
Amara Asha|Ogbonna Obi|F|1982-2-23
Said Oladipo|Nkosi Langa|M|1962-5-18
Oumar Amadi|Ndou Phiri|M|2003-10-10
Jabari Diop|Obi Dlamini|M|2000-8-24
Mubarak Femi|Mensah Gumede|M|2001-5-15
Diop Femi|Abdullahi Kamara|M|2002-12-22
Nzinga Aminata|Nwosu Sylla|F|2007-9-24
Layla Kadija|Toure Sylla|F|1996-8-1
Oumar Tahir|Gumede Ndlovu|M|1998-7-9
Oumar Ali|Osman Obi|M|1979-12-2
Boubacar Ibrahima|Banda Chanda|M|1963-4-17
Diop Ayo|Mohammed Niang|M|2012-4-20
Aboubacar Ibrahima|Dlamini Dlamini|M|2010-10-23
Asma Adanna|Mensah Kamara|F|2010-6-3
Zahara Amara|Langa Sow|F|1979-3-24
Nala Kehinde|Conteh Mensah|F|1961-6-13
Youssef Amadi|Mpofu Traoré|M|1972-4-18
Ismail Mamadou|Chanda Dlamini|M|1980-5-3
Yaa Asha|Modise Ndiaye|F|1986-2-23
Asha Safiya|Mensah Banda|F|1996-11-11
Adaeze Imani|Kamara Sylla|F|1965-2-25
Nabil Lamine|Mohammed Sow|M|1990-7-17
Mohammed Kofi|Ouedraogo Dlamini|M|2006-7-24
Zahara Kadija|Gumede Mumba|F|1993-5-16
Ali Tahir|Langa Traoré|M|2011-9-17
Zainab Yaa|Langa Abdullahi|F|1956-6-21
Tahir Ibrahima|Toure Mokone|M|1971-1-20
Jabari Suleiman|Ouedraogo Mohammed|M|2014-4-4
Ayanna Asha|Conteh Nkosi|F|1994-11-6
Mohammed Aboubacar|Langa Ogwumike|M|2000-6-4
Wale Said|Ndou Sankoh|M|1974-1-1
Amadou Femi|Mahlatse Mpofu|M|1959-8-25
Tariq Ibrahima|Nwosu Modise|M|1963-9-2
Ousmane Lamine|Abdullahi Osman|M|1973-9-19
Lamine Issa|Obi Eze|M|1997-8-23
Wale Femi|Sankoh Diallo|M|1967-6-24
Adewale Mubarak|Moyo Mulenga|M|1962-8-21
Kwesi Jabari|Ndlovu Sankoh|M|1991-10-7
Mohammed Tahir|Keita Langa|M|1959-10-17
Salma Safiya|Modise Chukwu|F|1994-3-18
Hassan Nabil|Modise Sow|M|1983-10-6
Kadija Samira|Mpofu Diop|F|2012-2-10
Ife Ayanna|Traoré Bello|F|1988-6-23
Mamadou Kofi|Mahlatse Sylla|M|1992-1-15
Aisha Nala|Jalloh Mensah|F|1973-4-5
Adewale Mubarak|Tshabalala Tshabalala|M|1977-9-18
Layla Nzinga|Traoré Mahlatse|F|1971-9-4
Adjoa Sanaa|Sylla Nkomo|F|1980-5-16
Zuleika Zuleika|Toure Okafor|F|1985-10-7
Musa Ibrahima|Sow Abdullahi|M|2012-12-13
Diop Tunde|Chanda Modise|M|2004-5-13
Moustapha Youssef|Ndiaye Nkosi|M|2005-6-19
Nia Aaliyah|Obi Abdullahi|F|1970-6-18
Youssef Ibrahima|Phiri Sankoh|M|1979-9-15
Zoya Zuleika|Mpofu Nkosi|F|1991-2-7
Nala Nkechi|Osman Mensah|F|1992-3-20
Ayana Kadija|Ogwumike Nkomo|F|2008-6-10
Malik Amadi|Ba Diallo|M|2003-10-2
Temba Amadi|Nwosu Mahlatse|M|2006-11-19
Boubacar Moustapha|Olumide Mohammed|M|2013-7-15
Haroun Suleiman|Phiri Nwosu|M|1969-6-7
Ousmane Malik|Phiri Ndlovu|M|2006-6-1
Malik Emmanuel|Kamara Modise|M|1991-3-14
Nzinga Zahara|Obi Chanda|F|2007-2-16
Zola Taraji|Nkosi Abdullahi|F|1964-11-22
Moustapha Temba|Nwachukwu Gumede|M|2006-2-25
Mubarak Juma|Ndiaye Mpofu|M|1962-6-14
Amadi Oumar|Nwosu Ndou|M|2006-4-25
Nia Amina|Chukwu Djembe|F|1971-7-22
Said Malik|Keita Nkosi|M|1955-4-16
Boubacar Suleiman|Traoré Banda|M|1981-11-2
Ismail Sani|Toure Djembe|M|1995-1-10
Aboubacar Hassan|Mohammed Mumba|M|1982-4-15
Yacouba Kwesi|Nwachukwu Jalloh|M|1994-1-1
Mamadou Said|Djembe Ogwumike|M|1965-9-25
Tariq Ousmane|Djembe Ndiaye|M|1992-9-17
Mamadou Mustafa|Conteh Ndiaye|M|1984-5-10
Chinedu Ahmed|Mohammed Eze|M|2013-4-3
Aboubacar Emmanuel|Jalloh Nwosu|M|1975-12-5
Tunde Mohammed|Dlamini Nwachukwu|M|2011-1-19
Nzinga Nala|Nkomo Phiri|F|1956-12-20
Said Temba|Okafor Tshabalala|M|2005-12-14
Zara Asha|Nwachukwu Nkosi|F|1999-7-1
Hassan Tunde|Ogbonna Ba|M|1997-3-1
Zola Makeda|Olumide Obi|F|1970-7-11
Tunde Diop|Traoré Diallo|M|1978-6-13
Chinedu Aboubacar|Nkosi Olumide|M|2012-2-18
Ismail Kofi|Mumba Modise|M|1988-7-16
Aboubacar Aboubacar|Mahlatse Diallo|M|1968-6-7
Ime Aaliyah|Banda Ndou|F|2014-8-3
Aminata Nia|Ndiaye Sylla|F|1958-11-17
Said Kwesi|Chukwu Mahlatse|M|2006-10-9
Sani Emmanuel|Conteh Sankoh|M|1962-3-12
Moustapha Youssef|Eze Langa|M|1955-9-1
Oladipo Boubacar|Dlamini Phiri|M|1984-4-7
Chiamaka Thandiwe|Eze Ba|F|1996-7-15
Safiya Amina|Kamara Nwachukwu|F|1964-6-23
Zara Ayo|Konaté Dlamini|F|1964-2-17
Ahmed Nabil|Toure Jalloh|M|1973-10-9
Temba Amadou|Abdullahi Mokone|M|1957-6-13
Halima Yaa|Nkomo Olumide|F|1994-2-16
Nala Layla|Mpofu Osman|F|1958-10-3
Zoya Nala|Okafor Osman|F|1974-6-10
Nkechi Ife|Mahlatse Konaté|F|1955-10-5
Zola Malika|Keita Conteh|F|2009-7-1
Diop Ali|Niang Mumba|M|1994-8-2
Kwame Oladipo|Abdullahi Bello|M|1992-12-7
Wale Nabil|Mensah Nkomo|M|1965-11-7
Juma Hassan|Mohammed Sankoh|M|2002-10-10
Fatima Adanna|Langa Gumede|F|1988-10-25
Taraji Halima|Mohammed Chanda|F|2013-2-24
Kofi Tunde|Ba Langa|M|1970-10-5
Oumar Ibrahima|Sylla Konaté|M|1965-1-23
Ayo Lamine|Okafor Banda|M|1979-6-14
Jabari Ali|Phiri Mulenga|M|1956-1-3
Mustafa Juma|Ba Diop|M|1960-11-21
Ife Asha|Diallo Kamara|F|1961-2-20
Nala Kadija|Nkomo Mpofu|F|1990-9-10
Alima Nia|Nkomo Konaté|F|2002-4-16
Mubarak Ismail|Mensah Konaté|M|1983-7-6
Nala Thandiwe|Nkomo Ndou|F|1963-5-6
Imani Nia|Eze Mpofu|F|1958-6-3
Tariq Issa|Sylla Ogwumike|M|1970-11-5
Temba Wale|Modise Moyo|M|1955-8-15
Ismail Aboubacar|Ogwumike Mahlatse|M|1996-1-2
Kwame Mamadou|Chanda Bello|M|2010-4-12
Mubarak Oladipo|Traoré Mokone|M|2010-12-1
Chukwuemeka Ayo|Bello Langa|M|1992-12-6
Halima Salma|Tshabalala Abdullahi|F|1979-8-5
Wale Mohammed|Dlamini Toure|M|1996-5-5
Kadija Fatima|Langa Nkosi|F|1965-3-21
Kofi Amadou|Traoré Diallo|M|1957-5-15
Oumar Ali|Konaté Traoré|M|2014-6-7
Ayo Makeda|Mensah Bello|F|2010-8-18
Zola Kadija|Ogbonna Ogbonna|F|1966-10-25
Moustapha Adewale|Mpofu Ba|M|2000-9-14
Solomon Solomon|Kamara Nkosi|M|2008-4-16
Ibrahima Ousmane|Nkosi Nkosi|M|1997-3-15
Tunde Solomon|Traoré Ogbonna|M|1956-9-18
Musa Mustafa|Abdullahi Mensah|M|1976-7-6
Suleiman Chukwuemeka|Ogbonna Traoré|M|1985-12-11
Chukwuemeka Boubacar|Mahlatse Phiri|M|1982-1-17
Femi Yacouba|Olumide Keita|M|1976-2-19
Nkechi Zara|Mpofu Gumede|F|1958-2-16
Chiamaka Samira|Gumede Ndlovu|F|1968-2-21
Temba Jabari|Okafor Mpofu|M|1993-10-18
Ayo Suleiman|Traoré Ndou|M|1971-3-17
Tunde Ousmane|Mpofu Osman|M|2000-12-6
Samira Kadija|Moyo Mahlatse|F|1981-7-22
Abdi Chukwuemeka|Ouedraogo Nwosu|M|2006-6-10
Ismail Ahmed|Ndou Olumide|M|1956-5-10
Femi Musa|Mpofu Sow|M|1998-9-9
Hassan Tahir|Okafor Nkomo|M|1987-5-25
Tahir Moustapha|Nkosi Mahlatse|M|1955-9-20
Solomon Ousmane|Nwachukwu Toure|M|1976-9-18
Amadi Juma|Ndou Banda|M|2013-5-10
Suleiman Adewale|Abdullahi Nkomo|M|1982-9-5
Chinedu Ismail|Niang Chukwu|M|1984-3-8
Lamine Ayo|Jalloh Mokone|M|2011-4-24
Boubacar Moustapha|Niang Nwachukwu|M|2008-6-6
Hassan Emmanuel|Modise Kamara|M|1995-7-20
Oumar Aboubacar|Mahlatse Ba|M|1992-5-6
Malik Nabil|Sylla Chukwu|M|1990-2-16
Femi Abdi|Banda Chukwu|M|1955-9-3
Lamine Tariq|Conteh Djembe|M|1976-6-16
Kwesi Ali|Olumide Sylla|M|1998-10-20
Lamine Chukwuemeka|Sylla Phiri|M|1979-7-20
Issa Malik|Ba Osman|M|2002-12-25
Abdi Tunde|Chanda Jalloh|M|1991-12-25
Temba Ibrahima|Osman Konaté|M|1984-12-14
Temba Wale|Traoré Langa|M|2007-12-25
Yaa Nala|Olumide Diop|F|1975-2-20
Adebayo Ibrahima|Banda Chanda|M|1969-10-20
Ismail Issa|Mpofu Nkomo|M|1976-5-12
Chukwuemeka Yacouba|Obi Traoré|M|2012-3-9
Emmanuel Juma|Mohammed Modise|M|1979-10-3
Zahara Salma|Dlamini Kamara|F|1972-2-13
Solomon Amadi|Traoré Phiri|M|1958-1-8
Ousmane Musa|Toure Mohammed|M|2014-5-5
Chinedu Emmanuel|Moyo Obi|M|1972-10-24
Mubarak Boubacar|Toure Ndiaye|M|2001-4-9
Mohammed Lamine|Sylla Sankoh|M|1972-3-24
Zuleika Zuleika|Dlamini Ba|F|1996-9-25
Ibrahima Oumar|Mahlatse Ndiaye|M|1965-11-24
Mustafa Kwesi|Kamara Chukwu|M|2008-6-15
Zahara Amina|Modise Osman|F|1996-11-21
Asha Nia|Osman Obi|F|1968-3-14
Amadi Aboubacar|Dlamini Gumede|M|1998-2-10
Safiya Zuleika|Mensah Chanda|F|1980-3-2
Tahir Ibrahima|Gumede Mpofu|M|1990-11-21
Ayo Suleiman|Jalloh Toure|M|1960-6-1
Solomon Boubacar|Traoré Mensah|M|1981-10-22
Kofi Juma|Banda Phiri|M|1991-2-23
Malika Nia|Nwosu Mohammed|F|1990-12-16
Solomon Musa|Eze Keita|M|2008-3-23
Sanaa Nala|Tshabalala Nkomo|F|1991-11-22
Boubacar Ismail|Moyo Mokone|M|1998-5-1
Said Chinedu|Modise Traoré|M|1955-9-8
Malika Nala|Abdullahi Jalloh|F|1989-8-13
Halima Thandiwe|Mohammed Ndiaye|F|1987-6-7
Suleiman Musa|Moyo Abdullahi|M|2003-10-8
Temba Tahir|Modise Ba|M|2001-2-25
Ousmane Oladipo|Mpofu Dlamini|M|2000-12-13
Moustapha Ibrahima|Niang Gumede|M|1960-12-16
Diop Aboubacar|Nkosi Niang|M|1970-10-4
Suleiman Femi|Obi Sow|M|2006-5-8
Nala Alima|Eze Ndiaye|F|1987-9-9
Yacouba Mubarak|Bello Modise|M|1993-7-9
Tahir Adewale|Conteh Chanda|M|2002-3-10
Nia Amina|Mpofu Diop|F|1980-11-10
Sani Emmanuel|Traoré Langa|M|1985-2-8
Makeda Imani|Ndiaye Tshabalala|F|2000-6-1
Ismail Femi|Olumide Obi|M|1967-10-9
Lamine Femi|Diallo Sylla|M|1994-6-9
Samira Sanaa|Nwachukwu Diallo|F|1956-2-5
Adanna Aaliyah|Mokone Ouedraogo|F|1992-12-24
Tahir Mustafa|Ndiaye Niang|M|1981-11-11
Kehinde Amara|Mahlatse Moyo|F|1960-4-14
Solomon Nabil|Kamara Diallo|M|1965-2-20
Amara Asma|Mensah Chukwu|F|1967-7-16
Mamadou Ibrahima|Moyo Mpofu|M|2000-5-10
Makeda Thandiwe|Sow Abdullahi|F|1958-11-2
Kofi Suleiman|Keita Modise|M|1996-2-8
Moustapha Aboubacar|Dlamini Sow|M|1984-12-10
Ayo Malik|Nkosi Jalloh|M|2013-3-18
Ali Nabil|Sow Nkosi|M|2006-6-13
Kwesi Femi|Eze Moyo|M|2000-4-14
Femi Emmanuel|Nwosu Mahlatse|M|1972-9-1
Kwesi Yacouba|Moyo Eze|M|1970-9-25
Chinedu Aboubacar|Osman Dlamini|M|1998-11-8
Zuleika Amara|Mumba Nkosi|F|1959-5-25
Wale Ibrahima|Chukwu Diallo|M|1983-10-18
Ibrahima Jabari|Mahlatse Tshabalala|M|2003-5-7
Zola Taraji|Dlamini Langa|F|1981-1-5
Tahir Moustapha|Ouedraogo Diallo|M|1955-11-8
Aboubacar Ayo|Dlamini Okafor|M|1993-7-17
Tunde Mohammed|Nkomo Bello|M|1970-9-5
Moustapha Boubacar|Moyo Chukwu|M|1994-1-1
Kwame Mustafa|Mokone Mensah|M|1983-12-13
Mohammed Ismail|Nkosi Mokone|M|1986-7-9
Ismail Mamadou|Ogbonna Olumide|M|2013-11-13
Sani Mohammed|Ndou Chukwu|M|1977-11-20
Said Mamadou|Nkosi Mahlatse|M|1978-1-24
Yacouba Ibrahima|Ba Djembe|M|1986-9-14
Ahmed Ahmed|Langa Osman|M|1967-4-24
Amadi Suleiman|Conteh Ndlovu|M|1975-12-14
Mustafa Tahir|Obi Mpofu|M|1991-4-16
Femi Oladipo|Mulenga Chukwu|M|2004-7-14
Adaeze Zainab|Gumede Chukwu|F|1982-12-7
Ibrahima Tahir|Sow Mpofu|M|1957-6-12
Ayanna Zara|Sylla Nwosu|F|2004-11-8
Ahmed Haroun|Toure Bello|M|1983-3-9
Adebayo Mohammed|Bello Nwosu|M|1973-5-11
Nabil Ayo|Chanda Moyo|M|1976-3-1
Hassan Femi|Mumba Abdullahi|M|1997-7-1
Sani Amadou|Tshabalala Nwosu|M|1995-7-10
Tahir Sani|Keita Sow|M|1978-9-21
Oumar Moustapha|Niang Obi|M|1991-5-25
Halima Kehinde|Ogwumike Ndiaye|F|1984-6-25
Kofi Ahmed|Eze Kamara|M|2002-3-23
Aaliyah Kadija|Chanda Chanda|F|1981-5-1
Ahmed Amadou|Obi Diop|M|2005-9-9
Haroun Yacouba|Nkomo Mensah|M|1975-10-9
Moustapha Wale|Ndou Langa|M|1998-5-12
Yacouba Juma|Dlamini Sankoh|M|1990-7-4
Chukwuemeka Kwame|Phiri Nkomo|M|1977-1-12
Fatima Amara|Diop Keita|F|1962-9-11
Mustafa Diop|Tshabalala Ndlovu|M|1954-10-19
Adewale Mustafa|Sankoh Olumide|M|1974-4-13
Mohammed Ali|Ogbonna Okafor|M|1957-7-9
Lamine Ismail|Obi Conteh|M|1999-2-7
Kwame Suleiman|Conteh Gumede|M|1966-4-22
Ayo Adewale|Djembe Diallo|M|1984-9-2
Ousmane Malik|Nkosi Chukwu|M|1994-12-6
Nadia Nala|Nkomo Bello|F|2010-10-11
Malika Ayana|Ba Djembe|F|1968-1-1
Zuleika Chiamaka|Ogbonna Diop|F|1984-11-17
Abdi Yacouba|Nkomo Nwachukwu|M|1955-12-17
Lamine Aboubacar|Ogbonna Mahlatse|M|1981-8-7
Emmanuel Said|Ba Mahlatse|M|1980-1-22
Issa Malik|Modise Eze|M|1969-2-3
Moustapha Issa|Obi Moyo|M|1958-7-13
Makeda Adjoa|Modise Tshabalala|F|1958-4-1
Ayo Ali|Diallo Chukwu|M|1966-3-13
Sani Issa|Moyo Olumide|M|1970-11-22
Chinedu Kwesi|Langa Ndiaye|M|1975-2-21
Adebayo Ismail|Sow Olumide|M|2000-12-18
Chiamaka Adaeze|Dlamini Mohammed|F|1955-1-7
Aminata Thandiwe|Mumba Ba|F|1968-3-14
Ahmed Lamine|Phiri Eze|M|1964-9-23
Haroun Ibrahima|Konaté Moyo|M|2000-7-16
Mamadou Ahmed|Mulenga Nwachukwu|M|1956-5-17
Jabari Amadou|Modise Toure|M|1954-4-10
Chiamaka Asma|Chanda Diop|F|1978-8-2
Tariq Ahmed|Olumide Conteh|M|1961-9-6
Adanna Samira|Traoré Ouedraogo|F|2001-3-3
Adaeze Nadia|Tshabalala Bello|F|1975-12-11
Wale Jabari|Ba Nkosi|M|1970-8-10
Suleiman Mustafa|Toure Ndiaye|M|1995-6-3
Jabari Tariq|Eze Chanda|M|1978-9-10
Ousmane Hassan|Langa Ndiaye|M|1956-5-19
Makeda Halima|Banda Kamara|F|2004-9-21
Nia Chiamaka|Nkomo Gumede|F|1961-7-14
Chukwuemeka Diop|Ogbonna Diop|M|2006-4-21
Nabil Chinedu|Ba Kamara|M|1963-7-9
Mariam Adanna|Dlamini Sankoh|F|1970-6-13
Malik Emmanuel|Conteh Modise|M|2002-4-21
Ayana Zola|Jalloh Mpofu|F|1973-12-8
Femi Youssef|Olumide Mahlatse|M|1975-2-16
Moustapha Ismail|Sankoh Mahlatse|M|1957-11-1
Said Suleiman|Sylla Konaté|M|1968-2-21
Tariq Jabari|Gumede Kamara|M|1994-10-22
Femi Temba|Jalloh Banda|M|1991-11-10
Amadi Chukwuemeka|Chanda Mulenga|M|1994-11-1
Kofi Kwesi|Diallo Gumede|M|1998-4-7
Ismail Solomon|Mohammed Mensah|M|1987-12-23
Mohammed Ahmed|Niang Osman|M|1967-4-20
Nabil Abdi|Konaté Mpofu|M|2004-12-7
Wale Lamine|Mokone Jalloh|M|1954-4-14
Makeda Asma|Nkosi Ndiaye|F|2010-12-14
Malik Abdi|Nwosu Ndlovu|M|1997-8-10
Moustapha Ali|Abdullahi Moyo|M|1992-12-9
Suleiman Lamine|Modise Kamara|M|1971-9-13
Oladipo Adebayo|Abdullahi Kamara|M|1987-10-2
Emmanuel Sani|Nkosi Ba|M|2002-10-23
Lamine Ismail|Moyo Keita|M|1954-5-21
Amadi Ali|Djembe Niang|M|1999-5-10
Mohammed Kwame|Okafor Niang|M|1980-1-2
Yaa Aisha|Ndiaye Chukwu|F|1958-6-14
Mubarak Abdi|Djembe Olumide|M|1991-8-14
Kwame Ibrahima|Modise Bello|M|1958-7-2
Malik Juma|Toure Dlamini|M|1973-1-4
Ali Aboubacar|Langa Djembe|M|1975-12-8
Oumar Youssef|Mulenga Ndou|M|1999-1-12
Mamadou Tariq|Olumide Ogbonna|M|2000-11-19
Femi Mubarak|Konaté Toure|M|2008-6-4
Aboubacar Kofi|Banda Konaté|M|2006-2-7
Taraji Thandiwe|Mulenga Mpofu|F|1997-5-1
Sanaa Ayanna|Mpofu Nkosi|F|2000-6-2
Amadi Ahmed|Moyo Chukwu|M|1991-5-2
Youssef Tunde|Mumba Djembe|M|1958-6-16
Adanna Safiya|Dlamini Langa|F|2010-9-13
Imani Nia|Chukwu Ndou|F|1999-5-9
Chinedu Temba|Moyo Sow|M|2001-3-3
Suleiman Emmanuel|Modise Jalloh|M|1984-5-20
Kwame Sani|Toure Modise|M|1986-5-9
Ife Nala|Ouedraogo Nkomo|F|1994-8-22
Hassan Mohammed|Toure Chukwu|M|1995-8-20
Chukwuemeka Chukwuemeka|Gumede Nwosu|M|2006-2-2
Kofi Kwame|Olumide Ogwumike|M|1962-7-18
Imani Layla|Gumede Tshabalala|F|1997-9-10
Tariro Aisha|Abdullahi Ouedraogo|F|1992-3-2
Temba Youssef|Jalloh Dlamini|M|2008-2-2
Taraji Imani|Keita Bello|F|1981-5-16
Samira Thandiwe|Gumede Jalloh|F|1994-8-23
Zola Nia|Langa Okafor|F|1980-8-14
Mohammed Aboubacar|Nkosi Ouedraogo|M|1994-10-19
Lamine Mubarak|Gumede Tshabalala|M|1965-1-21
Hassan Lamine|Chukwu Modise|M|1972-10-8
Ahmed Moustapha|Nkosi Ouedraogo|M|1965-10-17
Oladipo Youssef|Konaté Keita|M|1981-6-24
Kofi Ismail|Bello Ogwumike|M|1960-7-14
Musa Musa|Ndiaye Gumede|M|2000-6-20
Kadija Ayanna|Ogbonna Diallo|F|1980-11-4
Aminata Layla|Phiri Conteh|F|1977-2-24
Ayana Mariam|Mulenga Mensah|F|1956-5-15
Tunde Kwame|Mumba Mensah|M|1975-7-13
Adaeze Adanna|Osman Nwachukwu|F|1997-7-18
Mohammed Nabil|Eze Nkosi|M|1999-11-5
Oumar Youssef|Keita Okafor|M|1984-9-19
Zara Thandiwe|Traoré Konaté|F|2001-1-18
Mohammed Femi|Ouedraogo Osman|M|1980-12-17
Lamine Ismail|Tshabalala Mumba|M|1979-5-25
Wale Amadou|Toure Eze|M|1955-2-21
Hassan Sani|Olumide Sylla|M|1964-3-22
Nia Thandiwe|Traoré Djembe|F|1998-6-7
Musa Ali|Ogwumike Nwosu|M|1998-12-19
Nia Imani|Obi Mahlatse|F|2000-8-12
Moustapha Tahir|Jalloh Nkosi|M|1965-8-25
Haroun Amadi|Chukwu Olumide|M|1993-9-17
Nia Zara|Nkosi Keita|F|2006-6-24
Aboubacar Ousmane|Ogwumike Ogbonna|M|1956-9-16
Emmanuel Mohammed|Tshabalala Ouedraogo|M|2004-12-10
Aaliyah Malika|Ouedraogo Keita|F|2013-5-18
Moustapha Amadou|Djembe Niang|M|1957-10-9
Ayana Zainab|Kamara Diop|F|1969-12-1
Chinedu Amadi|Sow Ndiaye|M|1988-9-14
Tahir Malik|Tshabalala Ndlovu|M|1988-3-12
Kwesi Diop|Ndlovu Chukwu|M|2009-11-12
Zoya Zola|Sylla Ndlovu|F|1954-1-25
Oladipo Hassan|Kamara Langa|M|2008-3-5
Amara Fatima|Nwachukwu Nwachukwu|F|2014-1-17
Diop Sani|Sow Bello|M|1993-4-25
Tunde Femi|Phiri Nkosi|M|1973-7-23
Emmanuel Lamine|Chanda Mokone|M|1962-3-20
Oumar Lamine|Nkosi Ba|M|2011-9-4
Yaa Aminata|Okafor Konaté|F|1975-11-9
Asha Adjoa|Nkosi Toure|F|2011-3-25
Suleiman Oladipo|Sankoh Nkosi|M|1962-5-11
Chiamaka Malika|Nkosi Conteh|F|2013-10-13
Temba Haroun|Diallo Sylla|M|1969-8-8
Ahmed Haroun|Tshabalala Kamara|M|1959-9-9
Safiya Malika|Nwosu Mpofu|F|1965-7-3
Temba Adebayo|Osman Olumide|M|1954-11-13
Sani Mamadou|Niang Traoré|M|2004-11-1
Issa Ali|Ndlovu Osman|M|1994-2-25
Safiya Kadija|Nwachukwu Langa|F|1966-2-1
Lamine Tunde|Niang Obi|M|2006-1-6
Halima Nadia|Ndiaye Ogwumike|F|2004-5-21
Amadou Ayo|Ogwumike Gumede|M|2013-1-21
Mustafa Mamadou|Djembe Nkosi|M|1975-12-24
Nia Ayanna|Mpofu Moyo|F|1988-6-13
Mariam Taraji|Modise Mensah|F|1996-2-23
Taraji Ayanna|Mohammed Olumide|F|1956-3-13
Nala Zahara|Mohammed Nwachukwu|F|2001-9-17
Amadi Aboubacar|Nwachukwu Moyo|M|1981-9-18
Tariro Kadija|Modise Tshabalala|F|1967-11-17
Kwame Ousmane|Gumede Chanda|M|1962-1-3
Nkechi Taraji|Nkosi Osman|F|2006-7-22
Zola Nia|Kamara Diallo|F|1958-10-6
Mubarak Tunde|Eze Tshabalala|M|1958-2-22
Femi Jabari|Nwachukwu Nkomo|M|2012-7-4
Nabil Solomon|Mohammed Niang|M|1978-12-6
Chinedu Ahmed|Ndou Djembe|M|1979-10-14
Diop Ahmed|Olumide Nkomo|M|1982-5-23
Malika Zahara|Nwachukwu Toure|F|2000-6-7
Zoya Salma|Phiri Ouedraogo|F|1981-3-19
Adanna Ayo|Mulenga Ouedraogo|F|1977-1-25
Adebayo Diop|Ba Gumede|M|1964-10-22
Youssef Ousmane|Phiri Diop|M|1999-11-20
Moustapha Lamine|Sow Mokone|M|1992-1-5
Emmanuel Kwame|Tshabalala Chukwu|M|2006-9-3
Mubarak Jabari|Ndlovu Mumba|M|2010-1-25
Amara Nala|Sow Mokone|F|1985-11-5
Musa Tahir|Ogwumike Gumede|M|1970-8-21
Samira Taraji|Mohammed Djembe|F|2008-6-22
Yacouba Adebayo|Jalloh Eze|M|1955-3-3
Aboubacar Femi|Bello Ouedraogo|M|1989-1-17
Emmanuel Adebayo|Diallo Gumede|M|1970-9-14
Ali Suleiman|Sow Banda|M|2009-5-25
Temba Moustapha|Ba Jalloh|M|1982-7-15
Moustapha Nabil|Mulenga Mensah|M|1993-9-14
Moustapha Mustafa|Banda Niang|M|1992-8-11
Kwesi Sani|Nkosi Olumide|M|1982-5-22
Said Tahir|Mokone Diallo|M|1957-6-8
Ayo Musa|Bello Osman|M|1966-4-17
Chiamaka Adaeze|Djembe Sylla|F|1984-1-16
Lamine Ibrahima|Mulenga Diop|M|1972-4-14
Oladipo Femi|Ba Okafor|M|2007-10-25
Ife Adaeze|Niang Mohammed|F|2009-4-1
Jabari Mamadou|Toure Mohammed|M|1974-7-9
Emmanuel Said|Ouedraogo Moyo|M|2006-8-10
Hassan Wale|Sankoh Ndiaye|M|1970-3-2
Youssef Aboubacar|Nkosi Phiri|M|1981-8-25
Amina Nala|Sylla Nkomo|F|1958-6-16
Issa Chukwuemeka|Sankoh Eze|M|1957-12-23
Emmanuel Lamine|Ouedraogo Langa|M|2013-9-21
Femi Mohammed|Chanda Bello|M|1983-4-6
Ahmed Yacouba|Sankoh Mokone|M|1991-10-5
Moustapha Kofi|Abdullahi Kamara|M|1977-3-12
Femi Ousmane|Mpofu Modise|M|1982-5-23
Zainab Yaa|Toure Abdullahi|F|1990-1-14
Layla Nala|Niang Banda|F|1955-4-1
Mariam Makeda|Ba Olumide|F|2007-5-9
Zuleika Halima|Abdullahi Nkosi|F|1972-8-25
Ibrahima Tariq|Ouedraogo Mahlatse|M|1987-8-23
Diop Adebayo|Mumba Nkomo|M|2005-11-6
Nabil Suleiman|Mohammed Ba|M|2011-11-20
Diop Mustafa|Abdullahi Obi|M|2003-7-6
Chukwuemeka Ousmane|Dlamini Sankoh|M|1958-5-10
